Alimentos,Categoria
Almeirão,"Hortaliças folhosas, frutosas e outras"
Radite,"Hortaliças folhosas, frutosas e outras"
Brócolis,"Hortaliças folhosas, frutosas e outras"
Serralha,"Hortaliças folhosas, frutosas e outras"
Caruru,"Hortaliças folhosas, frutosas e outras"
Cuxá,"Hortaliças folhosas, frutosas e outras"
Vinagreira ,"Hortaliças folhosas, frutosas e outras"
Cariru,"Hortaliças folhosas, frutosas e outras"
Rúcula,"Hortaliças folhosas, frutosas e outras"
Jambu,"Hortaliças folhosas, frutosas e outras"
Língua de vaca,"Hortaliças folhosas, frutosas e outras"
Alcachofra,"Hortaliças folhosas, frutosas e outras"
Bredo,"Hortaliças folhosas, frutosas e outras"
Salsão,"Hortaliças folhosas, frutosas e outras"
Aipo,"Hortaliças folhosas, frutosas e outras"
Erva-doce,"Hortaliças folhosas, frutosas e outras"
Folha de aipim,"Hortaliças folhosas, frutosas e outras"
Folha de macaxeira,"Hortaliças folhosas, frutosas e outras"
Broto de feijão,"Hortaliças folhosas, frutosas e outras"
Moranga,"Hortaliças folhosas, frutosas e outras"
Abobrinha,"Hortaliças folhosas, frutosas e outras"
Jerimum,"Hortaliças folhosas, frutosas e outras"
Abóbora,"Hortaliças folhosas, frutosas e outras"
Pépino,"Hortaliças folhosas, frutosas e outras"
Chuchu,"Hortaliças folhosas, frutosas e outras"
Jiló,"Hortaliças folhosas, frutosas e outras"
Maxixe,"Hortaliças folhosas, frutosas e outras"
Pepininho,"Hortaliças folhosas, frutosas e outras"
Palmito in natura,"Hortaliças folhosas, frutosas e outras"
Guariroba,"Hortaliças folhosas, frutosas e outras"
Gueroba,"Hortaliças folhosas, frutosas e outras"
Pimentão,"Hortaliças folhosas, frutosas e outras"
Quiabo,"Hortaliças folhosas, frutosas e outras"
Tomate,"Hortaliças folhosas, frutosas e outras"
Vagem,"Hortaliças folhosas, frutosas e outras"
Cogumelo in natura,"Hortaliças folhosas, frutosas e outras"
Berinjela,"Hortaliças folhosas, frutosas e outras"
Ervilha em vagem,"Hortaliças folhosas, frutosas e outras"
Cebola,"Hortaliças folhosas, frutosas e outras"
Catalonha,"Hortaliças folhosas, frutosas e outras"
Jardineira,"Hortaliças folhosas, frutosas e outras"
Seleta,"Hortaliças folhosas, frutosas e outras"
Alho,"Hortaliças folhosas, frutosas e outras"
Alho-poró,"Hortaliças folhosas, frutosas e outras"
Broto de alfafa,"Hortaliças folhosas, frutosas e outras"
Alface orgânica,"Hortaliças folhosas, frutosas e outras"
Tomate orgânico,"Hortaliças folhosas, frutosas e outras"
Pimentão orgânico,"Hortaliças folhosas, frutosas e outras"
Orégano,"Hortaliças folhosas, frutosas e outras"
Pacová,Frutas
Banana,Frutas
Laranja,Frutas
Lima,Frutas
Limão,Frutas
Tangerina,Frutas
Mexerica,Frutas
Bergamota,Frutas
Mimosa,Frutas
Tanja,Frutas
Maricota,Frutas
Laranjinha japonesa,Frutas
Cana-de-açúcar,Frutas
Abacaxi,Frutas
Ananás,Frutas
Abacate,Frutas
Caqui,Frutas
Figo,Frutas
Maçã,Frutas
Mamão,Frutas
Papaia,Frutas
Manga,Frutas
Manguito,Frutas
Maracujá,Frutas
Melancia,Frutas
Melão,Frutas
pera,Frutas
Pêssego,Frutas
Fruta-de-conde,Frutas
Pinha (fruta-de-conde),Frutas
Ata,Frutas
Uva,Frutas
Uva passa,Frutas
Jenipapo ,Frutas
Jaca,Frutas
Goiaba,Frutas
Araçá-açu,Frutas
Ameixa,Frutas
Caju,Frutas
Cereja,Frutas
Cajá-manga,Frutas
Cajarana,Frutas
Taperebá,Frutas
Acaja,Frutas
Carambola,Frutas
Jabuticaba,Frutas
Graviola,Frutas
Morango,Frutas
Jambo,Frutas
Atemoia ,Frutas
Mangaba,Frutas
Araçá,Frutas
Nêspera,Frutas
Fruta-pão,Frutas
Sapoti,Frutas
Uxi,Frutas
Tamarindo,Frutas
Cacau,Frutas
Pitomba ,Frutas
Bacuri,Frutas
Ingá,Frutas
Pequi,Frutas
Pitanga ,Frutas
Ciriguela,Frutas
Murici,Frutas
Umbu,Frutas
Imbu,Frutas
Biribá,Frutas
Cupuaçu,Frutas
Nectarina,Frutas
Mari,Frutas
Romã,Frutas
Acerola,Frutas
Kiwi,Frutas
Abiu,Frutas
Jurubeba,Frutas
Fruta,Frutas
Maçã orgânica,Frutas
Acerola orgânica,Frutas
Amora,Frutas
Jamelão,Frutas
Jamburão,Frutas
Demerara,Açúcares e produtos de confeitaria 
Açúcar mascavo,Açúcares e produtos de confeitaria 
Rapadura,Açúcares e produtos de confeitaria 
Alfenim de cana,Açúcares e produtos de confeitaria 
Batida (rapadura),Açúcares e produtos de confeitaria 
Sorvete de qualquer sabor industrializado,Açúcares e produtos de confeitaria 
Picolé de qualquer sabor industrializado,Açúcares e produtos de confeitaria 
Chiclete,Açúcares e produtos de confeitaria 
Bala,Açúcares e produtos de confeitaria 
Caramelo (bala),Açúcares e produtos de confeitaria 
Drops,Açúcares e produtos de confeitaria 
Pastilha,Açúcares e produtos de confeitaria 
Pirulito,Açúcares e produtos de confeitaria 
Goma de mascar,Açúcares e produtos de confeitaria 
Jujuba,Açúcares e produtos de confeitaria 
Tablete de chocolate,Açúcares e produtos de confeitaria 
Barra de chocolate,Açúcares e produtos de confeitaria 
Confete,Açúcares e produtos de confeitaria 
Chocolate em pó de qualquer marca,Açúcares e produtos de confeitaria 
Ovomaltine,Açúcares e produtos de confeitaria 
Achocolatado em pó,Açúcares e produtos de confeitaria 
Toddynho,Açúcares e produtos de confeitaria 
Bombom de qualquer marca,Açúcares e produtos de confeitaria 
Trufa ,Açúcares e produtos de confeitaria 
Geleia de frutas de qualquer marca ou sabor,Açúcares e produtos de confeitaria 
Mousse de qualquer sabor (Geleia) ,Açúcares e produtos de confeitaria 
Geleia de mocotó,Açúcares e produtos de confeitaria 
Doce de frutas em pasta de qualquer sabor,Açúcares e produtos de confeitaria 
Pasta de amendoim,Açúcares e produtos de confeitaria 
Pessegada,Açúcares e produtos de confeitaria 
Marmelada,Açúcares e produtos de confeitaria 
Figada,Açúcares e produtos de confeitaria 
Goiabada,Açúcares e produtos de confeitaria 
Caju em pasta,Açúcares e produtos de confeitaria 
Mariola,Açúcares e produtos de confeitaria 
Doce de frutas em calda de qualquer sabor,Açúcares e produtos de confeitaria 
Doce de frutas cristalizado de qualquer sabor,Açúcares e produtos de confeitaria 
Melado,Açúcares e produtos de confeitaria 
Mel ,Açúcares e produtos de confeitaria 
Gelatina de qualquer sabor,Açúcares e produtos de confeitaria 
Adoçante artificial,Açúcares e produtos de confeitaria 
Merengue,Açúcares e produtos de confeitaria 
Schimier de cana,Açúcares e produtos de confeitaria 
Fruta seca ou desidratada,Açúcares e produtos de confeitaria 
Passa,Açúcares e produtos de confeitaria 
Pudim de qualquer sabor,Açúcares e produtos de confeitaria 
Danette pudim,Açúcares e produtos de confeitaria 
Manjar,Açúcares e produtos de confeitaria 
Cuscuz,Açúcares e produtos de confeitaria 
Cuscuz de tapioca,Açúcares e produtos de confeitaria 
Maria-mole,Açúcares e produtos de confeitaria 
Cocada,Açúcares e produtos de confeitaria 
Quebra-queixo,Açúcares e produtos de confeitaria 
Doce de amendoim,Açúcares e produtos de confeitaria 
Pé de moleque,Açúcares e produtos de confeitaria 
Paçoca,Açúcares e produtos de confeitaria 
Torrão de amendoim,Açúcares e produtos de confeitaria 
Paçoquinha de amendoim,Açúcares e produtos de confeitaria 
Amendoim caramelizado,Açúcares e produtos de confeitaria 
Amendoim amanteigado,Açúcares e produtos de confeitaria 
Amendoim achocolatado,Açúcares e produtos de confeitaria 
Amendoim apimentado,Açúcares e produtos de confeitaria 
Amendoim cozido,Açúcares e produtos de confeitaria 
Brigadeiro,Açúcares e produtos de confeitaria 
Bomba de qualquer tipo,Açúcares e produtos de confeitaria 
Mil folhas,Açúcares e produtos de confeitaria 
Queijadinha,Açúcares e produtos de confeitaria 
Doce à base de ovos,Açúcares e produtos de confeitaria 
Caçarola italiana,Açúcares e produtos de confeitaria 
Quindim,Açúcares e produtos de confeitaria 
Fios de ovos,Açúcares e produtos de confeitaria 
Doce à base de leite,Açúcares e produtos de confeitaria 
Pavê de qualquer sabor,Açúcares e produtos de confeitaria 
Ambrosia,Açúcares e produtos de confeitaria 
Leite geleificado,Açúcares e produtos de confeitaria 
Chandele de qualquer sabor,Açúcares e produtos de confeitaria 
Mumu ,Açúcares e produtos de confeitaria 
Canudinho recheado,Açúcares e produtos de confeitaria 
Sarolho,Açúcares e produtos de confeitaria 
Beiju,Açúcares e produtos de confeitaria 
Schimier de fruta (exceto de cana),Açúcares e produtos de confeitaria 
Beijo de moça,Açúcares e produtos de confeitaria 
Picolé ensacado,Açúcares e produtos de confeitaria 
Geladinho,Açúcares e produtos de confeitaria 
Churro,Açúcares e produtos de confeitaria 
Pamonha,Açúcares e produtos de confeitaria 
Algodão-doce,Açúcares e produtos de confeitaria 
Io-Iô crem (chocolate em creme),Açúcares e produtos de confeitaria 
Ovo de páscoa,Açúcares e produtos de confeitaria 
Kinder ovo,Açúcares e produtos de confeitaria 
Torrone,Açúcares e produtos de confeitaria 
Arroz-doce,Açúcares e produtos de confeitaria 
Polpa de coco,Açúcares e produtos de confeitaria 
Diet shake,Açúcares e produtos de confeitaria 
Concentrado alimentar diet shake,Açúcares e produtos de confeitaria 
Açúcar ,Açúcares e produtos de confeitaria 
Açúcar light,Açúcares e produtos de confeitaria 
Barra de cereais,Açúcares e produtos de confeitaria 
Barra de cereais salgada,Açúcares e produtos de confeitaria 
Barra de cereais doce,Açúcares e produtos de confeitaria 
Sobremesa de qualquer tipo (exceto infantil),Açúcares e produtos de confeitaria 
Rabanada,Açúcares e produtos de confeitaria 
Milk shake ,Açúcares e produtos de confeitaria 
Geleia diet,Açúcares e produtos de confeitaria 
Doce de frutas diet,Açúcares e produtos de confeitaria 
Pastéis de santa clara,Açúcares e produtos de confeitaria 
Suspiro,Açúcares e produtos de confeitaria 
Doce de frutas cristalizado de qualquer sabor diet,Açúcares e produtos de confeitaria 
Sorvete de qualquer sabor industrializado light,Açúcares e produtos de confeitaria 
Sorvete de qualquer sabor industrializado diet,Açúcares e produtos de confeitaria 
Bala light,Açúcares e produtos de confeitaria 
Chiclete diet,Açúcares e produtos de confeitaria 
Bala diet,Açúcares e produtos de confeitaria 
Barra de chocolate light,Açúcares e produtos de confeitaria 
Barra de chocolate diet,Açúcares e produtos de confeitaria 
Achocolatado em pó light,Açúcares e produtos de confeitaria 
Achocolatado em pó diet,Açúcares e produtos de confeitaria 
Toddynho diet,Açúcares e produtos de confeitaria 
Bombom de qualquer marca light,Açúcares e produtos de confeitaria 
Bombom de qualquer marca diet,Açúcares e produtos de confeitaria 
Bombom caramelizado de qualquer marca diet,Açúcares e produtos de confeitaria 
Geleia de frutas de qualquer marca ou sabor light,Açúcares e produtos de confeitaria 
Geleia light,Açúcares e produtos de confeitaria 
Geleia de frutas light,Açúcares e produtos de confeitaria 
Doce de frutas em barra ou pasta light,Açúcares e produtos de confeitaria 
Doce de frutas em pasta light,Açúcares e produtos de confeitaria 
Pudim de qualquer sabor light,Açúcares e produtos de confeitaria 
Pudim danette light,Açúcares e produtos de confeitaria 
Pudim de qualquer sabor diet,Açúcares e produtos de confeitaria 
